_id,metric_name,report_group,calendar_year,kpi_count,geo_area_name
1009116,Overdoses,Community Trends,2025,,Bedford Dwellings
1009117,Overdoses,Community Trends,2020,6,Beechview
1009118,Overdoses,Community Trends,2021,6,Beechview
1009119,Overdoses,Community Trends,2022,6,Beechview
1009120,Overdoses,Community Trends,2023,10,Beechview
1009121,Overdoses,Community Trends,2024,9,Beechview
1009122,Overdoses,Community Trends,2025,,Beechview
1009123,Overdoses,Community Trends,2020,,Beltzhoover
1009124,Overdoses,Community Trends,2021,,Beltzhoover
1009125,Overdoses,Community Trends,2022,,Beltzhoover
1009126,Overdoses,Community Trends,2023,,Beltzhoover
1009127,Overdoses,Community Trends,2024,,Beltzhoover
1009128,Overdoses,Community Trends,2025,,Beltzhoover
1009129,Overdoses,Community Trends,2020,7,Bloomfield
1009130,Overdoses,Community Trends,2021,10,Bloomfield
1009131,Overdoses,Community Trends,2022,,Bloomfield
1009132,Overdoses,Community Trends,2023,7,Bloomfield
1009133,Overdoses,Community Trends,2024,,Bloomfield
1009134,Overdoses,Community Trends,2025,,Bloomfield
1009135,Overdoses,Community Trends,2020,,Bluff
1009136,Overdoses,Community Trends,2021,,Bluff
1009137,Overdoses,Community Trends,2022,,Bluff
1009138,Overdoses,Community Trends,2023,,Bluff
1009139,Overdoses,Community Trends,2024,,Bluff
1009140,Overdoses,Community Trends,2025,,Bluff
1009141,Overdoses,Community Trends,2020,,Bon Air
1009142,Overdoses,Community Trends,2021,,Bon Air
1009143,Overdoses,Community Trends,2022,,Bon Air
1009144,Overdoses,Community Trends,2023,,Bon Air
1009145,Overdoses,Community Trends,2024,,Bon Air
1009146,Overdoses,Community Trends,2025,,Bon Air
1009147,Overdoses,Community Trends,2020,,Brighton Heights
1009148,Overdoses,Community Trends,2021,,Brighton Heights
1009149,Overdoses,Community Trends,2022,6,Brighton Heights
1009150,Overdoses,Community Trends,2023,,Brighton Heights
1009151,Overdoses,Community Trends,2024,,Brighton Heights
1009152,Overdoses,Community Trends,2025,,Brighton Heights
1009153,Overdoses,Community Trends,2020,17,Brookline
1009154,Overdoses,Community Trends,2021,6,Brookline
1009155,Overdoses,Community Trends,2022,8,Brookline
1009156,Overdoses,Community Trends,2023,,Brookline
1009157,Overdoses,Community Trends,2024,,Brookline
1009158,Overdoses,Community Trends,2025,,Brookline
1009159,Overdoses,Community Trends,2020,,California-Kirkbride
1009160,Overdoses,Community Trends,2021,,California-Kirkbride
1009161,Overdoses,Community Trends,2022,,California-Kirkbride
1009162,Overdoses,Community Trends,2023,,California-Kirkbride
1009163,Overdoses,Community Trends,2024,,California-Kirkbride
1009164,Overdoses,Community Trends,2025,,California-Kirkbride
1009165,Overdoses,Community Trends,2020,13,Carrick
1009166,Overdoses,Community Trends,2021,11,Carrick
1009167,Overdoses,Community Trends,2022,18,Carrick
1009168,Overdoses,Community Trends,2023,20,Carrick
1009169,Overdoses,Community Trends,2024,12,Carrick
1009170,Overdoses,Community Trends,2025,,Carrick
1009171,Overdoses,Community Trends,2020,,Central Lawrenceville
1009172,Overdoses,Community Trends,2021,,Central Lawrenceville
1009173,Overdoses,Community Trends,2022,,Central Lawrenceville
1009174,Overdoses,Community Trends,2023,,Central Lawrenceville
1009175,Overdoses,Community Trends,2024,,Central Lawrenceville
1009176,Overdoses,Community Trends,2025,,Central Lawrenceville
1009177,Overdoses,Community Trends,2020,,Central Northside
1009178,Overdoses,Community Trends,2021,,Central Northside
1009179,Overdoses,Community Trends,2022,,Central Northside
1009180,Overdoses,Community Trends,2023,,Central Northside
1009181,Overdoses,Community Trends,2024,,Central Northside
1009182,Overdoses,Community Trends,2025,,Central Northside
1009183,Overdoses,Community Trends,2020,,Central Oakland
1009184,Overdoses,Community Trends,2021,,Central Oakland
1009185,Overdoses,Community Trends,2022,,Central Oakland
1009186,Overdoses,Community Trends,2023,,Central Oakland
1009187,Overdoses,Community Trends,2024,,Central Oakland
1009188,Overdoses,Community Trends,2025,,Central Oakland
1009189,Overdoses,Community Trends,2020,,Chartiers City
1009190,Overdoses,Community Trends,2021,,Chartiers City
1009191,Overdoses,Community Trends,2022,,Chartiers City
1009192,Overdoses,Community Trends,2023,,Chartiers City
1009193,Overdoses,Community Trends,2024,,Chartiers City
1009194,Overdoses,Community Trends,2025,,Chartiers City
1009195,Overdoses,Community Trends,2020,,Chateau
1009196,Overdoses,Community Trends,2021,,Chateau
1009197,Overdoses,Community Trends,2022,,Chateau
1009198,Overdoses,Community Trends,2023,,Chateau
1009199,Overdoses,Community Trends,2024,,Chateau
1009200,Overdoses,Community Trends,2025,,Chateau
1009201,Overdoses,Community Trends,2020,,Crafton Heights
1009202,Overdoses,Community Trends,2021,,Crafton Heights
1009203,Overdoses,Community Trends,2022,,Crafton Heights
1009204,Overdoses,Community Trends,2023,,Crafton Heights
1009205,Overdoses,Community Trends,2024,,Crafton Heights
1009206,Overdoses,Community Trends,2025,,Crafton Heights
1009207,Overdoses,Community Trends,2020,,Crawford-Roberts
1009208,Overdoses,Community Trends,2021,,Crawford-Roberts
1009209,Overdoses,Community Trends,2022,,Crawford-Roberts
1009210,Overdoses,Community Trends,2023,,Crawford-Roberts
1009211,Overdoses,Community Trends,2024,,Crawford-Roberts
1009212,Overdoses,Community Trends,2025,,Crawford-Roberts
1009213,Overdoses,Community Trends,2020,,Duquesne Heights
1009214,Overdoses,Community Trends,2021,,Duquesne Heights
1009215,Overdoses,Community Trends,2022,,Duquesne Heights
1009216,Overdoses,Community Trends,2023,,Duquesne Heights
1009217,Overdoses,Community Trends,2024,,Duquesne Heights
1009218,Overdoses,Community Trends,2025,,Duquesne Heights
1009219,Overdoses,Community Trends,2020,,East Allegheny
1009220,Overdoses,Community Trends,2021,,East Allegheny
1009221,Overdoses,Community Trends,2022,,East Allegheny
1009222,Overdoses,Community Trends,2023,,East Allegheny
1009223,Overdoses,Community Trends,2024,,East Allegheny
1009224,Overdoses,Community Trends,2025,,East Allegheny
1009225,Overdoses,Community Trends,2020,,East Carnegie
1009226,Overdoses,Community Trends,2021,,East Carnegie
1009227,Overdoses,Community Trends,2022,,East Carnegie
1009228,Overdoses,Community Trends,2023,,East Carnegie
1009229,Overdoses,Community Trends,2024,,East Carnegie
1009230,Overdoses,Community Trends,2025,,East Carnegie
1009231,Overdoses,Community Trends,2020,,East Hills
1009232,Overdoses,Community Trends,2021,,East Hills
1009233,Overdoses,Community Trends,2022,,East Hills
1009234,Overdoses,Community Trends,2023,,East Hills
1009235,Overdoses,Community Trends,2024,,East Hills
1009236,Overdoses,Community Trends,2025,,East Hills
1009237,Overdoses,Community Trends,2020,,East Liberty
1009238,Overdoses,Community Trends,2021,,East Liberty
1009239,Overdoses,Community Trends,2022,,East Liberty
1009240,Overdoses,Community Trends,2023,,East Liberty
1009241,Overdoses,Community Trends,2024,,East Liberty
1009242,Overdoses,Community Trends,2025,,East Liberty
1009243,Overdoses,Community Trends,2020,,Elliott
1009244,Overdoses,Community Trends,2021,7,Elliott
1009245,Overdoses,Community Trends,2022,,Elliott
1009246,Overdoses,Community Trends,2023,,Elliott
1009247,Overdoses,Community Trends,2024,,Elliott
1009248,Overdoses,Community Trends,2025,,Elliott
1009249,Overdoses,Community Trends,2020,,Esplen
1009250,Overdoses,Community Trends,2021,,Esplen
1009251,Overdoses,Community Trends,2022,,Esplen
1009252,Overdoses,Community Trends,2023,,Esplen
1009253,Overdoses,Community Trends,2024,,Esplen
1009254,Overdoses,Community Trends,2025,,Esplen
1009255,Overdoses,Community Trends,2020,,Fairywood
1009256,Overdoses,Community Trends,2021,,Fairywood
1009257,Overdoses,Community Trends,2022,,Fairywood
1009258,Overdoses,Community Trends,2023,,Fairywood
1009259,Overdoses,Community Trends,2024,,Fairywood
1009260,Overdoses,Community Trends,2025,,Fairywood
1009261,Overdoses,Community Trends,2020,,Fineview
1009262,Overdoses,Community Trends,2021,,Fineview
1009263,Overdoses,Community Trends,2022,,Fineview
1009264,Overdoses,Community Trends,2023,,Fineview
1009265,Overdoses,Community Trends,2024,,Fineview
1009266,Overdoses,Community Trends,2025,,Fineview
1009267,Overdoses,Community Trends,2020,,Friendship
1009268,Overdoses,Community Trends,2021,,Friendship
1009269,Overdoses,Community Trends,2022,,Friendship
1009270,Overdoses,Community Trends,2023,,Friendship
1009271,Overdoses,Community Trends,2024,,Friendship
1009272,Overdoses,Community Trends,2025,,Friendship
1009273,Overdoses,Community Trends,2020,6,Garfield
1009274,Overdoses,Community Trends,2021,,Garfield
1009275,Overdoses,Community Trends,2022,,Garfield
1009276,Overdoses,Community Trends,2023,,Garfield
1009277,Overdoses,Community Trends,2024,,Garfield
1009278,Overdoses,Community Trends,2025,,Garfield
1009279,Overdoses,Community Trends,2020,,Glen Hazel
1009280,Overdoses,Community Trends,2021,,Glen Hazel
1009281,Overdoses,Community Trends,2022,,Glen Hazel
1009282,Overdoses,Community Trends,2023,,Glen Hazel
1009283,Overdoses,Community Trends,2024,,Glen Hazel
1009284,Overdoses,Community Trends,2025,,Glen Hazel
1009285,Overdoses,Community Trends,2020,10,Golden Triangle
1009286,Overdoses,Community Trends,2021,9,Golden Triangle
1009287,Overdoses,Community Trends,2022,8,Golden Triangle
1009288,Overdoses,Community Trends,2023,7,Golden Triangle
1009289,Overdoses,Community Trends,2024,,Golden Triangle
1009290,Overdoses,Community Trends,2025,,Golden Triangle
1009291,Overdoses,Community Trends,2020,,Greenfield
1009292,Overdoses,Community Trends,2021,,Greenfield
1009293,Overdoses,Community Trends,2022,,Greenfield
1009294,Overdoses,Community Trends,2023,,Greenfield
1009295,Overdoses,Community Trends,2024,,Greenfield
1009296,Overdoses,Community Trends,2025,,Greenfield
1009297,Overdoses,Community Trends,2020,,Hays
1009298,Overdoses,Community Trends,2021,,Hays
1009299,Overdoses,Community Trends,2022,,Hays
1009300,Overdoses,Community Trends,2023,,Hays
1009301,Overdoses,Community Trends,2024,,Hays
1009302,Overdoses,Community Trends,2025,,Hays
1009303,Overdoses,Community Trends,2020,10,Hazelwood
1009304,Overdoses,Community Trends,2021,,Hazelwood
1009305,Overdoses,Community Trends,2022,,Hazelwood
1009306,Overdoses,Community Trends,2023,6,Hazelwood
1009307,Overdoses,Community Trends,2024,6,Hazelwood
1009308,Overdoses,Community Trends,2025,,Hazelwood
1009309,Overdoses,Community Trends,2020,,Highland Park
1009310,Overdoses,Community Trends,2021,,Highland Park
1009311,Overdoses,Community Trends,2022,,Highland Park
1009312,Overdoses,Community Trends,2023,,Highland Park
1009313,Overdoses,Community Trends,2024,,Highland Park
1009314,Overdoses,Community Trends,2025,,Highland Park
1009315,Overdoses,Community Trends,2020,,Homewood North
1009316,Overdoses,Community Trends,2021,,Homewood North
1009317,Overdoses,Community Trends,2022,,Homewood North
1009318,Overdoses,Community Trends,2023,10,Homewood North
1009319,Overdoses,Community Trends,2024,,Homewood North
1009320,Overdoses,Community Trends,2025,,Homewood North
1009321,Overdoses,Community Trends,2020,,Homewood South
1009322,Overdoses,Community Trends,2021,,Homewood South
1009323,Overdoses,Community Trends,2022,,Homewood South
1009324,Overdoses,Community Trends,2023,8,Homewood South
1009325,Overdoses,Community Trends,2024,,Homewood South
1009326,Overdoses,Community Trends,2025,,Homewood South
1009327,Overdoses,Community Trends,2020,,Homewood West
1009328,Overdoses,Community Trends,2021,,Homewood West
1009329,Overdoses,Community Trends,2022,,Homewood West
1009330,Overdoses,Community Trends,2023,,Homewood West
1009331,Overdoses,Community Trends,2024,,Homewood West
1009332,Overdoses,Community Trends,2025,,Homewood West
1009333,Overdoses,Community Trends,2020,7,Knoxville
1009334,Overdoses,Community Trends,2021,10,Knoxville
1009335,Overdoses,Community Trends,2022,,Knoxville
1009336,Overdoses,Community Trends,2023,6,Knoxville
1009337,Overdoses,Community Trends,2024,,Knoxville
1009338,Overdoses,Community Trends,2025,,Knoxville
1009339,Overdoses,Community Trends,2020,,Larimer
1009340,Overdoses,Community Trends,2021,,Larimer
1009341,Overdoses,Community Trends,2022,,Larimer
1009342,Overdoses,Community Trends,2023,,Larimer
1009343,Overdoses,Community Trends,2024,,Larimer
1009344,Overdoses,Community Trends,2025,,Larimer
1009345,Overdoses,Community Trends,2020,,Lincoln Place
1009346,Overdoses,Community Trends,2021,,Lincoln Place
1009347,Overdoses,Community Trends,2022,,Lincoln Place
1009348,Overdoses,Community Trends,2023,,Lincoln Place
1009349,Overdoses,Community Trends,2024,,Lincoln Place
1009350,Overdoses,Community Trends,2025,,Lincoln Place
1009351,Overdoses,Community Trends,2020,,Lincoln-Lemington-Belmar
1009352,Overdoses,Community Trends,2021,,Lincoln-Lemington-Belmar
1009353,Overdoses,Community Trends,2022,,Lincoln-Lemington-Belmar
1009354,Overdoses,Community Trends,2023,,Lincoln-Lemington-Belmar
1009355,Overdoses,Community Trends,2024,,Lincoln-Lemington-Belmar
1009356,Overdoses,Community Trends,2025,,Lincoln-Lemington-Belmar
1009357,Overdoses,Community Trends,2020,,Lower Lawrenceville
1009358,Overdoses,Community Trends,2021,,Lower Lawrenceville
1009359,Overdoses,Community Trends,2022,,Lower Lawrenceville
1009360,Overdoses,Community Trends,2023,,Lower Lawrenceville
1009361,Overdoses,Community Trends,2024,,Lower Lawrenceville
1009362,Overdoses,Community Trends,2025,,Lower Lawrenceville
1009363,Overdoses,Community Trends,2020,,Manchester
1009364,Overdoses,Community Trends,2021,,Manchester
1009365,Overdoses,Community Trends,2022,,Manchester
1009366,Overdoses,Community Trends,2023,,Manchester
1009367,Overdoses,Community Trends,2024,,Manchester
1009368,Overdoses,Community Trends,2025,,Manchester
1009369,Overdoses,Community Trends,2020,10,Marshall-Shadeland
1009370,Overdoses,Community Trends,2021,8,Marshall-Shadeland
1009371,Overdoses,Community Trends,2022,10,Marshall-Shadeland
1009372,Overdoses,Community Trends,2023,6,Marshall-Shadeland
1009373,Overdoses,Community Trends,2024,,Marshall-Shadeland
1009374,Overdoses,Community Trends,2025,,Marshall-Shadeland
1009375,Overdoses,Community Trends,2020,,Middle Hill
1009376,Overdoses,Community Trends,2021,,Middle Hill
1009377,Overdoses,Community Trends,2022,8,Middle Hill
1009378,Overdoses,Community Trends,2023,7,Middle Hill
1009379,Overdoses,Community Trends,2024,,Middle Hill
1009380,Overdoses,Community Trends,2025,,Middle Hill
1009381,Overdoses,Community Trends,2020,,Morningside
1009382,Overdoses,Community Trends,2021,,Morningside
1009383,Overdoses,Community Trends,2022,,Morningside
1009384,Overdoses,Community Trends,2023,,Morningside
1009385,Overdoses,Community Trends,2024,,Morningside
1009386,Overdoses,Community Trends,2025,,Morningside
1009387,Overdoses,Community Trends,2020,,Mount Oliver
1009388,Overdoses,Community Trends,2021,,Mount Oliver
1009389,Overdoses,Community Trends,2022,,Mount Oliver
1009390,Overdoses,Community Trends,2023,,Mount Oliver
1009391,Overdoses,Community Trends,2024,,Mount Oliver
1009392,Overdoses,Community Trends,2025,,Mount Oliver
1009393,Overdoses,Community Trends,2020,10,Mount Washington
1009394,Overdoses,Community Trends,2021,11,Mount Washington
1009395,Overdoses,Community Trends,2022,10,Mount Washington
1009396,Overdoses,Community Trends,2023,7,Mount Washington
1009397,Overdoses,Community Trends,2024,,Mount Washington
1009398,Overdoses,Community Trends,2025,,Mount Washington
1009399,Overdoses,Community Trends,2020,,New Homestead
1009400,Overdoses,Community Trends,2021,,New Homestead
1009401,Overdoses,Community Trends,2022,,New Homestead
1009402,Overdoses,Community Trends,2023,,New Homestead
1009403,Overdoses,Community Trends,2024,,New Homestead
1009404,Overdoses,Community Trends,2025,,New Homestead
1009405,Overdoses,Community Trends,2020,,North Oakland
1009406,Overdoses,Community Trends,2021,,North Oakland
1009407,Overdoses,Community Trends,2022,,North Oakland
1009408,Overdoses,Community Trends,2023,,North Oakland
1009409,Overdoses,Community Trends,2024,,North Oakland
1009410,Overdoses,Community Trends,2025,,North Oakland
1009411,Overdoses,Community Trends,2020,,Northview Heights
1009412,Overdoses,Community Trends,2021,,Northview Heights
1009413,Overdoses,Community Trends,2022,,Northview Heights
1009414,Overdoses,Community Trends,2023,,Northview Heights
1009415,Overdoses,Community Trends,2024,,Northview Heights
1009416,Overdoses,Community Trends,2025,,Northview Heights
1009417,Overdoses,Community Trends,2020,,Oakwood
1009418,Overdoses,Community Trends,2021,,Oakwood
1009419,Overdoses,Community Trends,2022,,Oakwood
1009420,Overdoses,Community Trends,2023,,Oakwood
1009421,Overdoses,Community Trends,2024,,Oakwood
1009422,Overdoses,Community Trends,2025,,Oakwood
1009423,Overdoses,Community Trends,2020,,Overbrook
1009424,Overdoses,Community Trends,2021,,Overbrook
1009425,Overdoses,Community Trends,2022,,Overbrook
1009426,Overdoses,Community Trends,2023,,Overbrook
1009427,Overdoses,Community Trends,2024,,Overbrook
1009428,Overdoses,Community Trends,2025,,Overbrook
1009429,Overdoses,Community Trends,2020,,Perry North
1009430,Overdoses,Community Trends,2021,,Perry North
1009431,Overdoses,Community Trends,2022,,Perry North
1009432,Overdoses,Community Trends,2023,,Perry North
1009433,Overdoses,Community Trends,2024,,Perry North
1009434,Overdoses,Community Trends,2025,,Perry North
1009435,Overdoses,Community Trends,2020,,Perry South
1009436,Overdoses,Community Trends,2021,6,Perry South
1009437,Overdoses,Community Trends,2022,,Perry South
1009438,Overdoses,Community Trends,2023,6,Perry South
1009439,Overdoses,Community Trends,2024,,Perry South
1009440,Overdoses,Community Trends,2025,,Perry South
1009441,Overdoses,Community Trends,2020,,Point Breeze
1009442,Overdoses,Community Trends,2021,,Point Breeze
1009443,Overdoses,Community Trends,2022,,Point Breeze
1009444,Overdoses,Community Trends,2023,,Point Breeze
1009445,Overdoses,Community Trends,2024,,Point Breeze
1009446,Overdoses,Community Trends,2025,,Point Breeze
1009447,Overdoses,Community Trends,2020,,Point Breeze North
1009448,Overdoses,Community Trends,2021,,Point Breeze North
1009449,Overdoses,Community Trends,2022,,Point Breeze North
1009450,Overdoses,Community Trends,2023,,Point Breeze North
1009451,Overdoses,Community Trends,2024,,Point Breeze North
1009452,Overdoses,Community Trends,2025,,Point Breeze North
1009453,Overdoses,Community Trends,2020,,Polish Hill
1009454,Overdoses,Community Trends,2021,,Polish Hill
1009455,Overdoses,Community Trends,2022,,Polish Hill
1009456,Overdoses,Community Trends,2023,,Polish Hill
1009457,Overdoses,Community Trends,2024,,Polish Hill
1009458,Overdoses,Community Trends,2025,,Polish Hill
1009459,Overdoses,Community Trends,2020,,Regent Square
1009460,Overdoses,Community Trends,2021,,Regent Square
1009461,Overdoses,Community Trends,2022,,Regent Square
1009462,Overdoses,Community Trends,2023,,Regent Square
1009463,Overdoses,Community Trends,2024,,Regent Square
1009464,Overdoses,Community Trends,2025,,Regent Square
1009465,Overdoses,Community Trends,2020,,Ridgemont
1009466,Overdoses,Community Trends,2021,,Ridgemont
1009467,Overdoses,Community Trends,2022,,Ridgemont
1009468,Overdoses,Community Trends,2023,,Ridgemont
1009469,Overdoses,Community Trends,2024,,Ridgemont
1009470,Overdoses,Community Trends,2025,,Ridgemont
1009471,Overdoses,Community Trends,2020,,Saint Clair
1009472,Overdoses,Community Trends,2021,,Saint Clair
1009473,Overdoses,Community Trends,2022,,Saint Clair
1009474,Overdoses,Community Trends,2023,,Saint Clair
1009475,Overdoses,Community Trends,2024,,Saint Clair
1009476,Overdoses,Community Trends,2025,,Saint Clair
1009477,Overdoses,Community Trends,2020,,Shadyside
1009478,Overdoses,Community Trends,2021,,Shadyside
1009479,Overdoses,Community Trends,2022,,Shadyside
1009480,Overdoses,Community Trends,2023,,Shadyside
1009481,Overdoses,Community Trends,2024,,Shadyside
1009482,Overdoses,Community Trends,2025,,Shadyside
1009483,Overdoses,Community Trends,2020,10,Sheraden
1009484,Overdoses,Community Trends,2021,7,Sheraden
1009485,Overdoses,Community Trends,2022,6,Sheraden
1009486,Overdoses,Community Trends,2023,,Sheraden
1009487,Overdoses,Community Trends,2024,,Sheraden
1009488,Overdoses,Community Trends,2025,,Sheraden
1009489,Overdoses,Community Trends,2020,,South Oakland
1009490,Overdoses,Community Trends,2021,,South Oakland
1009491,Overdoses,Community Trends,2022,,South Oakland
1009492,Overdoses,Community Trends,2023,,South Oakland
1009493,Overdoses,Community Trends,2024,,South Oakland
1009494,Overdoses,Community Trends,2025,,South Oakland
1009495,Overdoses,Community Trends,2020,,South Side Flats
1009496,Overdoses,Community Trends,2021,6,South Side Flats
1009497,Overdoses,Community Trends,2022,,South Side Flats
1009498,Overdoses,Community Trends,2023,,South Side Flats
1009499,Overdoses,Community Trends,2024,,South Side Flats
1009500,Overdoses,Community Trends,2025,,South Side Flats
1009501,Overdoses,Community Trends,2020,,South Side Slopes
1009502,Overdoses,Community Trends,2021,,South Side Slopes
1009503,Overdoses,Community Trends,2022,,South Side Slopes
1009504,Overdoses,Community Trends,2023,,South Side Slopes
1009505,Overdoses,Community Trends,2024,,South Side Slopes
1009506,Overdoses,Community Trends,2025,,South Side Slopes
1009507,Overdoses,Community Trends,2020,,Spring Garden
1009508,Overdoses,Community Trends,2021,,Spring Garden
1009509,Overdoses,Community Trends,2022,,Spring Garden
1009510,Overdoses,Community Trends,2023,,Spring Garden
1009511,Overdoses,Community Trends,2024,,Spring Garden
1009512,Overdoses,Community Trends,2025,,Spring Garden
1009513,Overdoses,Community Trends,2020,,Spring Hill-City View
1009514,Overdoses,Community Trends,2021,8,Spring Hill-City View
1009515,Overdoses,Community Trends,2022,,Spring Hill-City View
1009516,Overdoses,Community Trends,2023,,Spring Hill-City View
1009517,Overdoses,Community Trends,2024,,Spring Hill-City View
1009518,Overdoses,Community Trends,2025,,Spring Hill-City View
1009519,Overdoses,Community Trends,2020,,Squirrel Hill North
1009520,Overdoses,Community Trends,2021,,Squirrel Hill North
1009521,Overdoses,Community Trends,2022,,Squirrel Hill North
1009522,Overdoses,Community Trends,2023,,Squirrel Hill North
1009523,Overdoses,Community Trends,2024,,Squirrel Hill North
1009524,Overdoses,Community Trends,2025,,Squirrel Hill North
1009525,Overdoses,Community Trends,2020,,Squirrel Hill South
1009526,Overdoses,Community Trends,2021,,Squirrel Hill South
1009527,Overdoses,Community Trends,2022,,Squirrel Hill South
1009528,Overdoses,Community Trends,2023,,Squirrel Hill South
1009529,Overdoses,Community Trends,2024,,Squirrel Hill South
1009530,Overdoses,Community Trends,2025,,Squirrel Hill South
1009531,Overdoses,Community Trends,2020,,Stanton Heights
1009532,Overdoses,Community Trends,2021,,Stanton Heights
1009533,Overdoses,Community Trends,2022,,Stanton Heights
1009534,Overdoses,Community Trends,2023,,Stanton Heights
1009535,Overdoses,Community Trends,2024,,Stanton Heights
1009536,Overdoses,Community Trends,2025,,Stanton Heights
1009537,Overdoses,Community Trends,2020,,Strip District
1009538,Overdoses,Community Trends,2021,,Strip District
1009539,Overdoses,Community Trends,2022,,Strip District
1009540,Overdoses,Community Trends,2023,,Strip District
1009541,Overdoses,Community Trends,2024,,Strip District
1009542,Overdoses,Community Trends,2025,,Strip District
1009543,Overdoses,Community Trends,2020,,Summer Hill
1009544,Overdoses,Community Trends,2021,,Summer Hill
1009545,Overdoses,Community Trends,2022,,Summer Hill
1009546,Overdoses,Community Trends,2023,,Summer Hill
1009547,Overdoses,Community Trends,2024,,Summer Hill
1009548,Overdoses,Community Trends,2025,,Summer Hill
1009549,Overdoses,Community Trends,2020,,Swisshelm Park
1009550,Overdoses,Community Trends,2021,,Swisshelm Park
1009551,Overdoses,Community Trends,2022,,Swisshelm Park
1009552,Overdoses,Community Trends,2023,,Swisshelm Park
1009553,Overdoses,Community Trends,2024,,Swisshelm Park
1009554,Overdoses,Community Trends,2025,,Swisshelm Park
1009555,Overdoses,Community Trends,2020,,Terrace Village
1009556,Overdoses,Community Trends,2021,,Terrace Village
1009557,Overdoses,Community Trends,2022,,Terrace Village
1009558,Overdoses,Community Trends,2023,,Terrace Village
1009559,Overdoses,Community Trends,2024,,Terrace Village
1009560,Overdoses,Community Trends,2025,,Terrace Village
1009561,Overdoses,Community Trends,2020,,Troy Hill
1009562,Overdoses,Community Trends,2021,,Troy Hill
1009563,Overdoses,Community Trends,2022,,Troy Hill
1009564,Overdoses,Community Trends,2023,,Troy Hill
1009565,Overdoses,Community Trends,2024,,Troy Hill
1009566,Overdoses,Community Trends,2025,,Troy Hill
1009567,Overdoses,Community Trends,2020,,Upper Hill
1009568,Overdoses,Community Trends,2021,,Upper Hill
1009569,Overdoses,Community Trends,2022,,Upper Hill
1009570,Overdoses,Community Trends,2023,,Upper Hill
1009571,Overdoses,Community Trends,2024,,Upper Hill
1009572,Overdoses,Community Trends,2025,,Upper Hill
1009573,Overdoses,Community Trends,2020,,Upper Lawrenceville
1009574,Overdoses,Community Trends,2021,,Upper Lawrenceville
1009575,Overdoses,Community Trends,2022,,Upper Lawrenceville
1009576,Overdoses,Community Trends,2023,,Upper Lawrenceville
1009577,Overdoses,Community Trends,2024,,Upper Lawrenceville
1009578,Overdoses,Community Trends,2025,,Upper Lawrenceville
1009579,Overdoses,Community Trends,2020,,West End
1009580,Overdoses,Community Trends,2021,,West End
1009581,Overdoses,Community Trends,2022,,West End
1009582,Overdoses,Community Trends,2023,,West End
1009583,Overdoses,Community Trends,2024,,West End
1009584,Overdoses,Community Trends,2025,,West End
1009585,Overdoses,Community Trends,2020,,West Oakland
1009586,Overdoses,Community Trends,2021,,West Oakland
1009587,Overdoses,Community Trends,2022,,West Oakland
1009588,Overdoses,Community Trends,2023,,West Oakland
1009589,Overdoses,Community Trends,2024,,West Oakland
1009590,Overdoses,Community Trends,2025,,West Oakland
